,Compound,Flux_mean,Std,Flux_min,Flux_max
49,N-Acetyl-Phenylalanine,-2.6080845826251724,0.013589430606594708,-2.6216740132317673,-2.5944951520185775
50,Nicotinate,-1.8315230334872479,0.01653409832013216,-1.84805713180738,-1.8149889351671158
51,O-Phospho-L-Serine,-1.1415075758001179,0.00838665888982026,-1.1498942346899381,-1.1331209169102976
52,Ornithine,-2.5281141159283993,0.10538412144262907,-2.6334982373710285,-2.42272999448577
53,Orotate,0.04507918522132285,0.018814112602265873,0.026265072619056976,0.06389329782358873
54,Panthothenic acid,-0.8573441133575203,0.01715541146384715,-0.8744995248213674,-0.8401887018936731
55,Phenylalanine,-0.9614956028155693,0.010124083264342349,-0.9716196860799117,-0.951371519551227
56,Proline,-1.0183453931761444,0.010959982856684305,-1.0293053760328286,-1.0073854103194602
57,Pyridoxine,-1.393086577793973,0.4110799284768161,-1.804166506270789,-0.9820066493171569
58,Rhamnose,-1.1456665410997486,0.039914132979137096,-1.1855806740788857,-1.1057524081206116
59,Riboflavin,-0.3533133841352449,0.01292862483831504,-0.3662420089735599,-0.34038475929692985
60,Serine,-1.9837595724743493,0.03057626675620638,-2.0143358392305557,-1.953183305718143
61,Shikimate,-3.007970926965463,0.006530315288015652,-3.0145012422534787,-3.001440611677447
62,Succinate,-0.07520092015366137,0.00906339750781467,-0.08426431766147603,-0.0661375226458467
63,Taurine,-2.4160752269893013,0.08847914752125233,-2.504554374510554,-2.327596079468049
64,Threonine,-1.7342926827373293,0.03196041067989503,-1.7662530934172243,-1.7023322720574343
65,Thymidine,-1.328772166087974,0.039535972727649124,-1.3683081388156233,-1.289236193360325
66,Thymine,-0.08298649138024168,0.015731236821001627,-0.0987177282012433,-0.06725525455924006
67,Trehalose,-2.0034357095656112,0.10528193311886584,-2.108717642684477,-1.8981537764467453
68,Tryptophan,-1.0626924857162674,0.009677314207299097,-1.0723697999235664,-1.0530151715089684
69,Tyrosine,-0.9837892687576534,0.009976372722476383,-0.9937656414801298,-0.973812896035177
70,Uracil,-1.2628909334576601,0.02063913662549681,-1.283530070083157,-1.2422517968321634
71,Uric Acid,-1.704561900576569,0.009319696485575063,-1.7138815970621442,-1.695242204090994
72,Uridine,-3.9479373937683824,0.13172185216131277,-4.079659245929695,-3.8162155416070696
73,Urocanate,0.41989337086155865,0.03639242480061746,0.3835009460609412,0.4562857956621761
74,Valine,-0.9756328162948269,0.009089055942950364,-0.9847218722377773,-0.9665437603518765
75,Xanthine,-4.576143082525752,0.3118882131046568,-4.888031295630409,-4.264254869421094
76,Xanthosine,-1.3730452102347825,0.05524660442097009,-1.4282918146557526,-1.3177986058138125
